"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Canada","2016A000011124","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44330963","1.1.10","2131.53","","","","2"
"2008","Canada","2016A000011124","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44330963","1.1.10","2148.51","","","","2"
"2009","Canada","2016A000011124","Total, all violations [0]","Rate, adult charged per 100,000 population aged 18 years and over","Rate","257","units","0","v44330963","1.1.10","2152.09","","","","2"
"2000","Canada","2016A000011124","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44397613","1.1.11","113595","","","","0"
"2001","Canada","2016A000011124","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44397613","1.1.11","116118","","","","0"
"2002","Canada","2016A000011124","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44397613","1.1.11","113119","","","","0"
"2003","Canada","2016A000011124","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44397613","1.1.11","93597","","","","0"
"2004","Canada","2016A000011124","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44397613","1.1.11","89265","","","","0"
"2005","Canada","2016A000011124","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44397613","1.1.11","85725","","","","0"
"2006","Canada","2016A000011124","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44397613","1.1.11","85860","","","","0"
"2007","Canada","2016A000011124","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44397613","1.1.11","90680","","","","0"
"2008","Canada","2016A000011124","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44397613","1.1.11","87488","","","","0"
"2009","Canada","2016A000011124","Total, all violations [0]","Total, youth charged","Number","223","units","0","v44397613","1.1.11","84490","","","","0"
"2000","Canada","2016A000011124","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44361582","1.1.12","4589.30","","","","2"
"2001","Canada","2016A000011124","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44361582","1.1.12","4656.20","","","","2"
"2002","Canada","2016A000011124","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44361582","1.1.12","4475.76","","","","2"
"2003","Canada","2016A000011124","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44361582","1.1.12","3662.47","","","","2"
"2004","Canada","2016A000011124","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44361582","1.1.12","3457.33","","","","2"
"2005","Canada","2016A000011124","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44361582","1.1.12","3286.84","","","","2"
"2006","Canada","2016A000011124","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44361582","1.1.12","3268.78","","","","2"
"2007","Canada","2016A000011124","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44361582","1.1.12","3460.62","","","","2"
"2008","Canada","2016A000011124","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44361582","1.1.12","3369.12","","","","2"
"2009","Canada","2016A000011124","Total, all violations [0]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v44361582","1.1.12","3294.14","","","","2"
"2000","Canada","2016A000011124","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080890","1.1.13","78704","","","","0"
"2001","Canada","2016A000011124","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080890","1.1.13","86040","","","","0"
"2002","Canada","2016A000011124","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080890","1.1.13","87304","","","","0"
"2003","Canada","2016A000011124","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080890","1.1.13","116144","","","","0"
"2004","Canada","2016A000011124","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080890","1.1.13","117446","","","","0"
"2005","Canada","2016A000011124","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080890","1.1.13","111591","","","","0"
"2006","Canada","2016A000011124","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080890","1.1.13","119012","","","","0"
"2007","Canada","2016A000011124","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080890","1.1.13","115979","","","","0"
"2008","Canada","2016A000011124","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080890","1.1.13","112681","","","","0"
"2009","Canada","2016A000011124","Total, all violations [0]","Total, youth not charged","Number","223","units","0","v53080890","1.1.13","111612","","","","0"
"2000","Canada","2016A000011124","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080891","1.1.14","3179.69","","","","2"
"2001","Canada","2016A000011124","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080891","1.1.14","3450.11","","","","2"
"2002","Canada","2016A000011124","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080891","1.1.14","3454.34","","","","2"
"2003","Canada","2016A000011124","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080891","1.1.14","4544.73","","","","2"
"2004","Canada","2016A000011124","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080891","1.1.14","4548.81","","","","2"
"2005","Canada","2016A000011124","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080891","1.1.14","4278.59","","","","2"
"2006","Canada","2016A000011124","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080891","1.1.14","4530.90","","","","2"
"2007","Canada","2016A000011124","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080891","1.1.14","4426.11","","","","2"
"2008","Canada","2016A000011124","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080891","1.1.14","4339.29","","","","2"
"2009","Canada","2016A000011124","Total, all violations [0]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate","257","units","0","v53080891","1.1.14","4351.59","","","","2"
"2000","Canada","2016A000011124","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v44372528","1.4.1","458559","","","","0"
"2001","Canada","2016A000011124","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v44372528","1.4.1","457043","","","","0"
"2002","Canada","2016A000011124","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v44372528","1.4.1","451733","","","","0"
"2003","Canada","2016A000011124","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v44372528","1.4.1","453963","","","","0"
"2004","Canada","2016A000011124","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v44372528","1.4.1","448514","","","","0"
"2005","Canada","2016A000011124","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v44372528","1.4.1","447857","","","","0"
"2006","Canada","2016A000011124","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v44372528","1.4.1","451652","","","","0"
"2007","Canada","2016A000011124","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v44372528","1.4.1","445252","","","","0"
"2008","Canada","2016A000011124","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v44372528","1.4.1","443608","","","","0"
"2009","Canada","2016A000011124","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v44372528","1.4.1","444533","","","","0"
"2000","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v44392548","1.4.2","1494.21","","","","2"
"2001","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v44392548","1.4.2","1473.43","","","","2"
"2002","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v44392548","1.4.2","1440.77","","","","2"
"2003","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v44392548","1.4.2","1434.79","","","","2"
"2004","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v44392548","1.4.2","1404.21","","","","2"
"2005","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v44392548","1.4.2","1388.91","","","","2"
"2006","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v44392548","1.4.2","1386.69","","","","2"
"2007","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v44392548","1.4.2","1353.85","","","","2"
"2008","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v44392548","1.4.2","1334.33","","","","2"
"2009","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v44392548","1.4.2","1321.89","","","","2"
"2000","Canada","2016A000011124","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v44332104","1.4.3","3.76","","","","2"
"2001","Canada","2016A000011124","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v44332104","1.4.3","-1.39","","","","2"
"2002","Canada","2016A000011124","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v44332104","1.4.3","-2.22","","","","2"
"2003","Canada","2016A000011124","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v44332104","1.4.3","-0.42","","","","2"
"2004","Canada","2016A000011124","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v44332104","1.4.3","-2.13","","","","2"
"2005","Canada","2016A000011124","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v44332104","1.4.3","-1.09","","","","2"
"2006","Canada","2016A000011124","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v44332104","1.4.3","-0.16","","","","2"
"2007","Canada","2016A000011124","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v44332104","1.4.3","-2.37","","","","2"
"2008","Canada","2016A000011124","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v44332104","1.4.3","-1.44","","","","2"
"2009","Canada","2016A000011124","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v44332104","1.4.3","-0.93","","","","2"
"2000","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v44372725","1.4.4","315986","","","","0"
"2001","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v44372725","1.4.4","310162","","","","0"
"2002","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v44372725","1.4.4","302627","","","","0"
"2003","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v44372725","1.4.4","299594","","","","0"
"2004","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v44372725","1.4.4","291381","","","","0"
"2005","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v44372725","1.4.4","299318","","","","0"
"2006","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v44372725","1.4.4","312275","","","","0"
"2007","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v44372725","1.4.4","310566","","","","0"
"2008","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v44372725","1.4.4","313426","","","","0"
"2009","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total cleared","Number","223","units","0","v44372725","1.4.4","316707","","","","0"
"2000","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, persons charged","Number","223","units","0","v44371490","1.4.7","172946","","","","0"
"2001","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, persons charged","Number","223","units","0","v44371490","1.4.7","181952","","","","0"
"2002","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, persons charged","Number","223","units","0","v44371490","1.4.7","177575","","","","0"
"2003","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, persons charged","Number","223","units","0","v44371490","1.4.7","171260","","","","0"
"2004","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, persons charged","Number","223","units","0","v44371490","1.4.7","169263","","","","0"
"2005","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, persons charged","Number","223","units","0","v44371490","1.4.7","172715","","","","0"
"2006","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, persons charged","Number","223","units","0","v44371490","1.4.7","175878","","","","0"
"2007","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, persons charged","Number","223","units","0","v44371490","1.4.7","174313","","","","0"
"2008","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, persons charged","Number","223","units","0","v44371490","1.4.7","175037","","","","0"
"2009","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, persons charged","Number","223","units","0","v44371490","1.4.7","178860","","","","0"
"2000","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44367971","1.4.8","664.50","","","","2"
"2001","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44367971","1.4.8","689.43","","","","2"
"2002","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44367971","1.4.8","662.96","","","","2"
"2003","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44367971","1.4.8","630.99","","","","2"
"2004","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44367971","1.4.8","615.53","","","","2"
"2005","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44367971","1.4.8","620.22","","","","2"
"2006","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44367971","1.4.8","623.73","","","","2"
"2007","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44367971","1.4.8","610.93","","","","2"
"2008","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44367971","1.4.8","605.95","","","","2"
"2009","Canada","2016A000011124","Total violent Criminal Code violations [100]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44367971","1.4.8","611.56","","","","2"
"2000","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v44394139","1.4.9","144832","","","","0"
"2001","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v44394139","1.4.9","153089","","","","0"
"2002","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v44394139","1.4.9","149728","","","","0"
"2003","Canada","2016A000011124","Total violent Criminal Code violations [100]","Total, adult charged","Number","223","units","0","v44394139","1.4.9","146903","","","","0"
